Fod size : 5	|A| : 1	|B| : 1	Bl (B) :1	 Nlz : 496	 Bl ({A}) : 240	S({A};B) : 255	Cond Belief : 1
Fod size : 20	|A| : 15	|B| : 10	Bl (B) :1.15226e+07	 Nlz : 5.49755e+11	 Bl ({A}) : 1.62529e+07	S({A};B) : 1.69839e+10	Cond Belief : 2.16282e-05
Fod size : 20	|A| : 15	|B| : 11	Bl (B) :3.24209e+07	 Nlz : 5.49755e+11	 Bl ({A}) : 1.62529e+07	S({A};B) : 3.42748e+10	Cond Belief : 6.28964e-05
Fod size : 20	|A| : 15	|B| : 12	Bl (B) :3.09309e+07	 Nlz : 5.49755e+11	 Bl ({A}) : 1.62529e+07	S({A};B) : 6.75146e+10	Cond Belief : 6.41422e-05
Fod size : 20	|A| : 15	|B| : 13	Bl (B) :1.34078e+08	 Nlz : 5.49755e+11	 Bl ({A}) : 1.62529e+07	S({A};B) : 1.37284e+11	Cond Belief : 0.000325074
Fod size : 20	|A| : 15	|B| : 14	Bl (B) :2.68394e+08	 Nlz : 5.49755e+11	 Bl ({A}) : 1.62529e+07	S({A};B) : 2.74592e+11	Cond Belief : 0.000975458
Fod size : 20	|A| : 15	|B| : 15	Bl (B) :5.36855e+08	 Nlz : 5.49755e+11	 Bl ({A}) : 1.62529e+07	S({A};B) : 5.49202e+11	Cond Belief : 1
Fod size : 20	|A| : 16	|B| : 1	Bl (B) :1	 Nlz : 5.49755e+11	 Bl ({A}) : 7.86432e+06	S({A};B) : 7.86434e+06	Cond Belief : 1.81904e-12
Fod size : 20	|A| : 16	|B| : 2	Bl (B) :2052	 Nlz : 5.49755e+11	 Bl ({A}) : 7.86432e+06	S({A};B) : 2.36237e+07	Cond Belief : 3.73278e-09
Fod size : 20	|A| : 16	|B| : 3	Bl (B) :16516	 Nlz : 5.49755e+11	 Bl ({A}) : 7.86432e+06	S({A};B) : 5.5298e+07	Cond Belief : 3.00459e-08
Fod size : 20	|A| : 16	|B| : 4	Bl (B) :24600	 Nlz : 5.49755e+11	 Bl ({A}) : 7.86432e+06	S({A};B) : 1.18334e+08	Cond Belief : 4.47575e-08
Fod size : 20	|A| : 16	|B| : 5	Bl (B) :533040	 Nlz : 5.49755e+11	 Bl ({A}) : 7.86432e+06	S({A};B) : 2.5179e+08	Cond Belief : 9.70053e-07
Fod size : 20	|A| : 16	|B| : 6	Bl (B) :5856	 Nlz : 5.49755e+11	 Bl ({A}) : 7.86432e+06	S({A};B) : 4.9554e+08	Cond Belief : 1.06618e-08
Fod size : 20	|A| : 16	|B| : 7	Bl (B) :1.02451e+06	 Nlz : 5.49755e+11	 Bl ({A}) : 7.86432e+06	S({A};B) : 1.01414e+09	Cond Belief : 1.86705e-06
Fod size : 20	|A| : 16	|B| : 8	Bl (B) :6.91853e+06	 Nlz : 5.49755e+11	 Bl ({A}) : 7.86432e+06	S({A};B) : 2.10918e+09	Cond Belief : 1.26334e-05
Fod size : 20	|A| : 16	|B| : 9	Bl (B) :1.56032e+07	 Nlz : 5.49755e+11	 Bl ({A}) : 7.86432e+06	S({A};B) : 4.25272e+09	Cond Belief : 2.86038e-05
Fod size : 20	|A| : 16	|B| : 10	Bl (B) :1.12686e+07	 Nlz : 5.49755e+11	 Bl ({A}) : 7.86432e+06	S({A};B) : 8.21423e+09	Cond Belief : 2.08087e-05
Fod size : 20	|A| : 16	|B| : 11	Bl (B) :5.85523e+07	 Nlz : 5.49755e+11	 Bl ({A}) : 7.86432e+06	S({A};B) : 1.69765e+10	Cond Belief : 0.000109902
Fod size : 20	|A| : 16	|B| : 12	Bl (B) :1.33638e+08	 Nlz : 5.49755e+11	 Bl ({A}) : 7.86432e+06	S({A};B) : 3.4209e+10	Cond Belief : 0.000259221
Fod size : 20	|A| : 16	|B| : 13	Bl (B) :2.33304e+08	 Nlz : 5.49755e+11	 Bl ({A}) : 7.86432e+06	S({A};B) : 6.79162e+10	Cond Belief : 0.000484203
Fod size : 20	|A| : 16	|B| : 14	Bl (B) :5.32652e+08	 Nlz : 5.49755e+11	 Bl ({A}) : 7.86432e+06	S({A};B) : 1.36831e+11	Cond Belief : 0.00128998
Fod size : 20	|A| : 16	|B| : 15	Bl (B) :1.07371e+09	 Nlz : 5.49755e+11	 Bl ({A}) : 7.86432e+06	S({A};B) : 2.73796e+11	Cond Belief : 0.00389093
Fod size : 20	|A| : 16	|B| : 16	Bl (B) :2.14745e+09	 Nlz : 5.49755e+11	 Bl ({A}) : 7.86432e+06	S({A};B) : 5.476e+11	Cond Belief : 1
Fod size : 20	|A| : 17	|B| : 1	Bl (B) :256	 Nlz : 5.49755e+11	 Bl ({A}) : 3.67002e+06	S({A};B) : 3.67181e+06	Cond Belief : 4.65668e-10
Fod size : 20	|A| : 17	|B| : 2	Bl (B) :8196	 Nlz : 5.49755e+11	 Bl ({A}) : 3.67002e+06	S({A};B) : 1.10674e+07	Cond Belief : 1.49089e-08
Fod size : 20	|A| : 17	|B| : 3	Bl (B) :4132	 Nlz : 5.49755e+11	 Bl ({A}) : 3.67002e+06	S({A};B) : 2.5719e+07	Cond Belief : 7.51647e-09
Fod size : 20	|A| : 17	|B| : 4	Bl (B) :295440	 Nlz : 5.49755e+11	 Bl ({A}) : 3.67002e+06	S({A};B) : 5.71183e+07	Cond Belief : 5.37462e-07
Fod size : 20	|A| : 17	|B| : 5	Bl (B) :721168	 Nlz : 5.49755e+11	 Bl ({A}) : 3.67002e+06	S({A};B) : 1.18819e+08	Cond Belief : 1.31209e-06
Fod size : 20	|A| : 17	|B| : 6	Bl (B) :1.34662e+06	 Nlz : 5.49755e+11	 Bl ({A}) : 3.67002e+06	S({A};B) : 2.40637e+08	Cond Belief : 2.45059e-06
Fod size : 20	|A| : 17	|B| : 7	Bl (B) :5.12435e+06	 Nlz : 5.49755e+11	 Bl ({A}) : 3.67002e+06	S({A};B) : 5.01962e+08	Cond Belief : 9.32973e-06
Fod size : 20	|A| : 17	|B| : 8	Bl (B) :1.4091e+07	 Nlz : 5.49755e+11	 Bl ({A}) : 3.67002e+06	S({A};B) : 1.03449e+09	Cond Belief : 2.56799e-05
Fod size : 20	|A| : 17	|B| : 9	Bl (B) :6.77786e+06	 Nlz : 5.49755e+11	 Bl ({A}) : 3.67002e+06	S({A};B) : 1.92282e+09	Cond Belief : 1.23722e-05
Fod size : 20	|A| : 17	|B| : 10	Bl (B) :3.19375e+07	 Nlz : 5.49755e+11	 Bl ({A}) : 3.67002e+06	S({A};B) : 3.97799e+09	Cond Belief : 5.85179e-05
Fod size : 20	|A| : 17	|B| : 11	Bl (B) :5.75928e+07	 Nlz : 5.49755e+11	 Bl ({A}) : 3.67002e+06	S({A};B) : 7.91567e+09	Cond Belief : 0.000106292
Fod size : 20	|A| : 17	|B| : 12	Bl (B) :2.42702e+08	 Nlz : 5.49755e+11	 Bl ({A}) : 3.67002e+06	S({A};B) : 1.67276e+10	Cond Belief : 0.000455331
Fod size : 20	|A| : 17	|B| : 13	Bl (B) :5.02653e+08	 Nlz : 5.49755e+11	 Bl ({A}) : 3.67002e+06	S({A};B) : 3.35797e+10	Cond Belief : 0.000973809
Fod size : 20	|A| : 17	|B| : 14	Bl (B) :4.02637e+08	 Nlz : 5.49755e+11	 Bl ({A}) : 3.67002e+06	S({A};B) : 6.29443e+10	Cond Belief : 0.000827097
Fod size : 20	|A| : 17	|B| : 15	Bl (B) :1.87693e+09	 Nlz : 5.49755e+11	 Bl ({A}) : 3.67002e+06	S({A};B) : 1.33394e+11	Cond Belief : 0.00450799
Fod size : 20	|A| : 17	|B| : 16	Bl (B) :4.28655e+09	 Nlz : 5.49755e+11	 Bl ({A}) : 3.67002e+06	S({A};B) : 2.7052e+11	Cond Belief : 0.0153512
Fod size : 20	|A| : 17	|B| : 17	Bl (B) :8.58987e+09	 Nlz : 5.49755e+11	 Bl ({A}) : 3.67002e+06	S({A};B) : 5.41162e+11	Cond Belief : 1
Fod size : 20	|A| : 18	|B| : 1	Bl (B) :1024	 Nlz : 5.49755e+11	 Bl ({A}) : 1.57286e+06	S({A};B) : 1.57594e+06	Cond Belief : 1.86266e-09
Fod size : 20	|A| : 18	|B| : 2	Bl (B) :132096	 Nlz : 5.49755e+11	 Bl ({A}) : 1.57286e+06	S({A};B) : 5.11488e+06	Cond Belief : 2.40284e-07
Fod size : 20	|A| : 18	|B| : 3	Bl (B) :393280	 Nlz : 5.49755e+11	 Bl ({A}) : 1.57286e+06	S({A};B) : 1.21899e+07	Cond Belief : 7.15391e-07
Fod size : 20	|A| : 18	|B| : 4	Bl (B) :1.34554e+06	 Nlz : 5.49755e+11	 Bl ({A}) : 1.57286e+06	S({A};B) : 2.76296e+07	Cond Belief : 2.44765e-06
Fod size : 20	|A| : 18	|B| : 5	Bl (B) :1.63946e+06	 Nlz : 5.49755e+11	 Bl ({A}) : 1.57286e+06	S({A};B) : 5.36772e+07	Cond Belief : 2.98246e-06
Fod size : 20	|A| : 18	|B| : 6	Bl (B) :4.52618e+06	 Nlz : 5.49755e+11	 Bl ({A}) : 1.57286e+06	S({A};B) : 1.12669e+08	Cond Belief : 8.23479e-06
Fod size : 20	|A| : 18	|B| : 7	Bl (B) :9.73875e+06	 Nlz : 5.49755e+11	 Bl ({A}) : 1.57286e+06	S({A};B) : 2.2897e+08	Cond Belief : 1.77221e-05
Fod size : 20	|A| : 18	|B| : 8	Bl (B) :2.76326e+07	 Nlz : 5.49755e+11	 Bl ({A}) : 1.57286e+06	S({A};B) : 4.83978e+08	Cond Belief : 5.0308e-05
Fod size : 20	|A| : 18	|B| : 9	Bl (B) :4.6966e+07	 Nlz : 5.49755e+11	 Bl ({A}) : 1.57286e+06	S({A};B) : 9.44632e+08	Cond Belief : 8.55781e-05
Fod size : 20	|A| : 18	|B| : 10	Bl (B) :2.72087e+07	 Nlz : 5.49755e+11	 Bl ({A}) : 1.57286e+06	S({A};B) : 1.69067e+09	Cond Belief : 4.96452e-05
Fod size : 20	|A| : 18	|B| : 11	Bl (B) :2.49999e+07	 Nlz : 5.49755e+11	 Bl ({A}) : 1.57286e+06	S({A};B) : 3.29465e+09	Cond Belief : 4.5749e-05
Fod size : 20	|A| : 18	|B| : 12	Bl (B) :4.67362e+08	 Nlz : 5.49755e+11	 Bl ({A}) : 1.57286e+06	S({A};B) : 7.84296e+09	Cond Belief : 0.000862433
Fod size : 20	|A| : 18	|B| : 13	Bl (B) :5.02952e+08	 Nlz : 5.49755e+11	 Bl ({A}) : 1.57286e+06	S({A};B) : 1.43922e+10	Cond Belief : 0.000939462
Fod size : 20	|A| : 18	|B| : 14	Bl (B) :1.84509e+09	 Nlz : 5.49755e+11	 Bl ({A}) : 1.57286e+06	S({A};B) : 3.13035e+10	Cond Belief : 0.00355886
Fod size : 20	|A| : 18	|B| : 15	Bl (B) :4.02622e+09	 Nlz : 5.49755e+11	 Bl ({A}) : 1.57286e+06	S({A};B) : 6.36167e+10	Cond Belief : 0.00828207
Fod size : 20	|A| : 18	|B| : 16	Bl (B) :8.58145e+09	 Nlz : 5.49755e+11	 Bl ({A}) : 1.57286e+06	S({A};B) : 1.28822e+11	Cond Belief : 0.0203868
Fod size : 20	|A| : 18	|B| : 17	Bl (B) :1.61061e+10	 Nlz : 5.49755e+11	 Bl ({A}) : 1.57286e+06	S({A};B) : 2.54475e+11	Cond Belief : 0.0545453
Fod size : 20	|A| : 18	|B| : 18	Bl (B) :3.43596e+10	 Nlz : 5.49755e+11	 Bl ({A}) : 1.57286e+06	S({A};B) : 5.15394e+11	Cond Belief : 1
Fod size : 20	|A| : 19	|B| : 1	Bl (B) :262144	 Nlz : 5.49755e+11	 Bl ({A}) : 524288	S({A};B) : 786432	Cond Belief : 4.76839e-07
Fod size : 20	|A| : 19	|B| : 2	Bl (B) :532480	 Nlz : 5.49755e+11	 Bl ({A}) : 524288	S({A};B) : 2.10534e+06	Cond Belief : 9.68581e-07
Fod size : 20	|A| : 19	|B| : 3	Bl (B) :16432	 Nlz : 5.49755e+11	 Bl ({A}) : 524288	S({A};B) : 3.68645e+06	Cond Belief : 2.98899e-08
Fod size : 20	|A| : 19	|B| : 4	Bl (B) :33304	 Nlz : 5.49755e+11	 Bl ({A}) : 524288	S({A};B) : 7.89762e+06	Cond Belief : 6.05806e-08
Fod size : 20	|A| : 19	|B| : 5	Bl (B) :1.05005e+06	 Nlz : 5.49755e+11	 Bl ({A}) : 524288	S({A};B) : 1.7303e+07	Cond Belief : 1.91009e-06
Fod size : 20	|A| : 19	|B| : 6	Bl (B) :1.27824e+06	 Nlz : 5.49755e+11	 Bl ({A}) : 524288	S({A};B) : 3.43084e+07	Cond Belief : 2.32525e-06
Fod size : 20	|A| : 19	|B| : 7	Bl (B) :3.4128e+06	 Nlz : 5.49755e+11	 Bl ({A}) : 524288	S({A};B) : 6.99974e+07	Cond Belief : 6.20865e-06
Fod size : 20	|A| : 19	|B| : 8	Bl (B) :485120	 Nlz : 5.49755e+11	 Bl ({A}) : 524288	S({A};B) : 1.34179e+08	Cond Belief : 8.82645e-07
Fod size : 20	|A| : 19	|B| : 9	Bl (B) :2.69466e+07	 Nlz : 5.49755e+11	 Bl ({A}) : 524288	S({A};B) : 2.94858e+08	Cond Belief : 4.90419e-05
Fod size : 20	|A| : 19	|B| : 10	Bl (B) :1.63953e+08	 Nlz : 5.49755e+11	 Bl ({A}) : 524288	S({A};B) : 7.00299e+08	Cond Belief : 0.000298609
Fod size : 20	|A| : 19	|B| : 11	Bl (B) :3.65808e+08	 Nlz : 5.49755e+11	 Bl ({A}) : 524288	S({A};B) : 1.43903e+09	Cond Belief : 0.000667148
Fod size : 20	|A| : 19	|B| : 12	Bl (B) :6.49517e+08	 Nlz : 5.49755e+11	 Bl ({A}) : 524288	S({A};B) : 2.79648e+09	Cond Belief : 0.00118751
Fod size : 20	|A| : 19	|B| : 13	Bl (B) :1.33738e+09	 Nlz : 5.49755e+11	 Bl ({A}) : 524288	S({A};B) : 5.63182e+09	Cond Belief : 0.00245787
Fod size : 20	|A| : 19	|B| : 14	Bl (B) :2.07811e+09	 Nlz : 5.49755e+11	 Bl ({A}) : 524288	S({A};B) : 1.06675e+10	Cond Belief : 0.00385486
Fod size : 20	|A| : 19	|B| : 15	Bl (B) :8.04253e+09	 Nlz : 5.49755e+11	 Bl ({A}) : 524288	S({A};B) : 2.52219e+10	Cond Belief : 0.0153327
Fod size : 20	|A| : 19	|B| : 16	Bl (B) :1.39581e+10	 Nlz : 5.49755e+11	 Bl ({A}) : 524288	S({A};B) : 4.83173e+10	Cond Belief : 0.0278361
Fod size : 20	|A| : 19	|B| : 17	Bl (B) :3.43575e+10	 Nlz : 5.49755e+11	 Bl ({A}) : 524288	S({A};B) : 1.03076e+11	Cond Belief : 0.0769178
Fod size : 20	|A| : 19	|B| : 18	Bl (B) :6.86522e+10	 Nlz : 5.49755e+11	 Bl ({A}) : 524288	S({A};B) : 2.06091e+11	Cond Belief : 0.199766
Fod size : 20	|A| : 19	|B| : 19	Bl (B) :1.37439e+11	 Nlz : 5.49755e+11	 Bl ({A}) : 524288	S({A};B) : 4.12316e+11	Cond Belief : 1
Fod size : 20	|A| : 20	|B| : 1	Bl (B) :8192	 Nlz : 5.49755e+11	 Bl ({A}) : 0	S({A};B) : 0	Cond Belief : 1.49012e-08
Fod size : 20	|A| : 20	|B| : 2	Bl (B) :1.04861e+06	 Nlz : 5.49755e+11	 Bl ({A}) : 0	S({A};B) : 0	Cond Belief : 1.90741e-06
Fod size : 20	|A| : 20	|B| : 3	Bl (B) :1.05268e+06	 Nlz : 5.49755e+11	 Bl ({A}) : 0	S({A};B) : 0	Cond Belief : 1.91482e-06
Fod size : 20	|A| : 20	|B| : 4	Bl (B) :393296	 Nlz : 5.49755e+11	 Bl ({A}) : 0	S({A};B) : 0	Cond Belief : 7.15402e-07
Fod size : 20	|A| : 20	|B| : 5	Bl (B) :6.45555e+06	 Nlz : 5.49755e+11	 Bl ({A}) : 0	S({A};B) : 0	Cond Belief : 1.17426e-05
Fod size : 20	|A| : 20	|B| : 6	Bl (B) :1.78919e+07	 Nlz : 5.49755e+11	 Bl ({A}) : 0	S({A};B) : 0	Cond Belief : 3.25453e-05
Fod size : 20	|A| : 20	|B| : 7	Bl (B) :4.09766e+07	 Nlz : 5.49755e+11	 Bl ({A}) : 0	S({A};B) : 0	Cond Belief : 7.45361e-05
Fod size : 20	|A| : 20	|B| : 8	Bl (B) :2.55148e+07	 Nlz : 5.49755e+11	 Bl ({A}) : 0	S({A};B) : 0	Cond Belief : 4.64111e-05
Fod size : 20	|A| : 20	|B| : 9	Bl (B) :2.46023e+08	 Nlz : 5.49755e+11	 Bl ({A}) : 0	S({A};B) : 0	Cond Belief : 0.000447513
Fod size : 20	|A| : 20	|B| : 10	Bl (B) :2.18329e+08	 Nlz : 5.49755e+11	 Bl ({A}) : 0	S({A};B) : 0	Cond Belief : 0.000397138
Fod size : 20	|A| : 20	|B| : 11	Bl (B) :9.79194e+08	 Nlz : 5.49755e+11	 Bl ({A}) : 0	S({A};B) : 0	Cond Belief : 0.00178114
Fod size : 20	|A| : 20	|B| : 12	Bl (B) :6.18392e+08	 Nlz : 5.49755e+11	 Bl ({A}) : 0	S({A};B) : 0	Cond Belief : 0.00112485
Fod size : 20	|A| : 20	|B| : 13	Bl (B) :3.61279e+09	 Nlz : 5.49755e+11	 Bl ({A}) : 0	S({A};B) : 0	Cond Belief : 0.00657164
Fod size : 20	|A| : 20	|B| : 14	Bl (B) :2.13875e+09	 Nlz : 5.49755e+11	 Bl ({A}) : 0	S({A};B) : 0	Cond Belief : 0.00389037
Fod size : 20	|A| : 20	|B| : 15	Bl (B) :7.95212e+09	 Nlz : 5.49755e+11	 Bl ({A}) : 0	S({A};B) : 0	Cond Belief : 0.0144648
Fod size : 20	|A| : 20	|B| : 16	Bl (B) :3.30153e+10	 Nlz : 5.49755e+11	 Bl ({A}) : 0	S({A};B) : 0	Cond Belief : 0.0600545
Fod size : 20	|A| : 20	|B| : 17	Bl (B) :3.43424e+10	 Nlz : 5.49755e+11	 Bl ({A}) : 0	S({A};B) : 0	Cond Belief : 0.0624685
Fod size : 20	|A| : 20	|B| : 18	Bl (B) :1.37166e+11	 Nlz : 5.49755e+11	 Bl ({A}) : 0	S({A};B) : 0	Cond Belief : 0.249504
Fod size : 20	|A| : 20	|B| : 19	Bl (B) :2.74877e+11	 Nlz : 5.49755e+11	 Bl ({A}) : 0	S({A};B) : 0	Cond Belief : 0.5
Fod size : 20	|A| : 20	|B| : 20	Bl (B) :5.49755e+11	 Nlz : 5.49755e+11	 Bl ({A}) : 0	S({A};B) : 0	Cond Belief : 1
FoD size : 20 Time spent : 0
